extension,filename.size,action,category,event.desc,event.type,result,netname,tld,size
,,,2,The syslog server settings have been changed,300999,Success,"private misc,private src",,366
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",org,781
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,798
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,795
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,795
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,785
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,785
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",com,781
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,786
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,788
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,788
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,785
,,,2,The syslog server settings have been changed,300999,Success,"private misc,private src",,366
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,796
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,796
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,796
,,,2,The syslog server settings have been changed,300999,Success,"private misc,private src",,366
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,785
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,785
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src","org,google",777
,0,not blocked,0,Successful logon - RDP,2184,,"private misc,private dst,private src",org,756
,0,not blocked,0,Successful logon - RDP,2184,,"private misc,private dst,private src",org,771
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",,772
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",,772
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,798
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,787
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,799
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src","org,google",777
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,785
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,785
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,785
,0,not blocked,0,Successful logon - RDP,2184,,"private misc,private dst,private src",org,756
,0,not blocked,0,Successful logon - RDP,2184,,"private misc,private dst,private src",org,771
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,785
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,785
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",,767
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",,767
,0,not blocked,0,Successful logon - RDP,2184,,"private misc,private dst,private src",org,756
,0,not blocked,0,Successful logon - RDP,2184,,"private misc,private dst,private src",org,771
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,786
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,786
,0,not blocked,0,Successful logon - RDP,2184,,"private misc,private dst,private src",org,756
,0,not blocked,0,Successful logon - RDP,2184,,"private misc,private dst,private src",org,771
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,793
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,793
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,794
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,785
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,797
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,797
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,789
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,789
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,785
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,785
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,785
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,801
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,801
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,800
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,796
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,796
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",google,765
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",google,765
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src","org,com",794
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src","org,com",794
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src","org,com",792
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",com,787
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",com,787
,,,2,"""Component: C&amp;C Identification Pattern, version: 1.01524.16 on the ActiveUpdate server.""",300102,Success,private misc,,391
,,,2,Updated component C&amp;C Identification Pattern,300102,Success,private misc,,349
,,,2,"""Component: Advanced Persistent Threat Information Pattern, version: 1.15700.39 on the ActiveUpdate server.""",300102,Success,private misc,,411
,,,2,Updated component Advanced Persistent Threat Information Pattern,300102,Success,private misc,,369
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",google,766
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",,772
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",,772
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",org,780
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,797
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,797
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,783
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,783
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,799
,0,not blocked,0,Successful logon - RDP,2184,,"private misc,private dst,private src",org,764
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,785
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,785
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,784
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",google,762
,0,not blocked,0,Successful logon using default Administrator account - RDP,609,,"private misc,private dst,private src",org,814
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,789
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src","org,com",794
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src","org,com",794
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src","org,google",777
,0,not blocked,0,Successful logon - RDP,2184,,"private misc,private dst,private src",,759
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,796
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,798
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,798
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,798
,0,not blocked,0,Successful logon - RDP,2184,,"private misc,private dst,private src",org,781
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,private src",org,789
,0,not blocked,1,DNS response resolves to dead IP address,101,,"private misc,private dst,other src",com,784
